id,code,language,green_score,energy_wh,co2_g,cpu_time_ms,memory_mb,complexity,duration,emissions,emissions_rate,energy_consumed,country_name,region,cloud_provider,cloud_region,os,cpu_model,gpu_model,ram_total_size,tracking_mode,on_cloud,pue
1,"def inefficient_sum(numbers):
    total = 0
    for i in range(len(numbers)):
        total += numbers[i]
    return total
",python,40,0.06,15,3,10,4,0.5,1.50E-05,3.00E-07,0.01,USA,North America,AWS,us-east-1,Windows-11,Intel i7,NVIDIA T4,16,process,Y,1.6
2,"def efficient_sum(numbers):
    return sum(numbers)
",python,85,0.02,5,0.8,3,1,0.2,5.00E-06,1.00E-07,0.004,USA,North America,AWS,us-east-1,Linux,Intel i7,NVIDIA T4,16,process,Y,1.4
3,"function processList(items) {
  const result = [];
  for (let i = 0; i < items.length; i++) {
    if (items[i] > 0) {
      result.push(items[i] * 2);
    }
  }
  return result;
}
",javascript,45,0.055,13,2.5,9,4,0.4,1.30E-05,2.80E-07,0.009,Germany,Europe,Azure,eu-central-1,Linux,AMD Ryzen 9,NVIDIA T4,32,machine,Y,1.7
4,"function processList(items) {
  return items.filter(x => x > 0).map(x => x * 2);
}
",javascript,88,0.018,4.5,0.7,2.8,2,0.15,4.00E-06,9.00E-08,0.003,Germany,Europe,Azure,eu-central-1,Linux,AMD Ryzen 9,NVIDIA T4,32,machine,Y,1.6
5,"public List<Integer> inefficientProcess(List<Integer> items) {
    List<Integer> result = new ArrayList<>();
    for (int i = 0; i < items.size(); i++) {
        if (items.get(i) > 0) {
            result.add(items.get(i) * 2);
        }
    }
    return result;
}
",java,42,0.058,14,2.7,9.5,4,0.45,1.40E-05,3.00E-07,0.0105,India,Asia,GCP,asia-south1,Linux,Intel Xeon,NVIDIA A100,64,process,Y,1.8
6,"public List<Integer> efficientProcess(List<Integer> items) {
    return items.stream()
        .filter(x -> x > 0)
        .map(x -> x * 2)
        .collect(Collectors.toList());
}
",java,86,0.021,5.2,0.9,3.2,2,0.18,5.00E-06,1.10E-07,0.0038,India,Asia,GCP,asia-south1,Linux,Intel Xeon,NVIDIA A100,64,process,Y,1.7
7,"std::vector<int> inefficientProcess(const std::vector<int>& items) {
    std::vector<int> result;
    for (size_t i = 0; i < items.size(); ++i) {
        if (items[i] > 0) {
            result.push_back(items[i] * 2);
        }
    }
    return result;
}
",cpp,48,0.05,12,2.2,8,3,0.35,1.20E-05,2.50E-07,0.0092,France,Europe,AWS,eu-west-3,Linux,Intel Xeon,NVIDIA T4,32,machine,N,1.5
8,"std::vector<int> efficientProcess(const std::vector<int>& items) {
    std::vector<int> result;
    result.reserve(items.size());
    for (auto x : items) {
        if (x > 0) {
            result.push_back(x * 2);
        }
    }
    return result;
}
",cpp,82,0.023,5.8,1.1,3.5,2,0.16,4.80E-06,9.50E-08,0.0032,France,Europe,AWS,eu-west-3,Linux,Intel Xeon,NVIDIA T4,32,machine,N,1.4
9,"def efficient_sum(numbers):
    return sum(numbers)
",python,71.79,0.022855,5.153052,0.7892,2.775,1,0.2385,5.59E-06,1.06E-07,0.00448714,USA,North America,AWS,us-east-1,Linux,Intel i7,NVIDIA T4,16,process,Y,1.349
10,"def efficient_sum(numbers):
    return sum(numbers)
",python,84.35,0.022326,4.319081,0.9044,2.94,1,0.1796,5.32E-06,9.70E-08,0.00380006,USA,North America,AWS,us-east-1,Linux,Intel i7,NVIDIA T4,16,process,Y,1.465
11,"std::vector<int> efficientProcess(const std::vector<int>& items) {
    std::vector<int> result;
    result.reserve(items.size());
    for (auto x : items) {
        if (x > 0) {
            result.push_back(x * 2);
        }
    }
    return result;
}
",cpp,70.8,0.026114,5.096778,1.0144,3.93,2,0.1469,4.45E-06,8.40E-08,0.00347283,France,Europe,AWS,eu-west-3,Linux,Intel Xeon,NVIDIA T4,32,machine,N,1.347
12,"function processList(items) {
  const result = [];
  for (let i = 0; i < items.length; i++) {
    if (items[i] > 0) {
      result.push(items[i] * 2);
    }
  }
  return result;
}
",javascript,39.81,0.064394,11.204121,2.1816,10.014,4,0.3849,1.32E-05,2.48E-07,0.0072593,Germany,Europe,Azure,eu-central-1,Linux,AMD Ryzen 9,NVIDIA T4,32,machine,Y,1.764
13,"std::vector<int> efficientProcess(const std::vector<int>& items) {
    std::vector<int> result;
    result.reserve(items.size());
    for (auto x : items) {
        if (x > 0) {
            result.push_back(x * 2);
        }
    }
    return result;
}
",cpp,66.96,0.023424,6.354937,1.2764,2.897,2,0.1884,5.54E-06,1.07E-07,0.00265847,France,Europe,AWS,eu-west-3,Linux,Intel Xeon,NVIDIA T4,32,machine,N,1.439
14,"function processList(items) {
  const result = [];
  for (let i = 0; i < items.length; i++) {
    if (items[i] > 0) {
      result.push(items[i] * 2);
    }
  }
  return result;
}
",javascript,43.29,0.054105,12.74203,2.5079,9.362,4,0.3892,1.26E-05,2.91E-07,0.00893867,Germany,Europe,Azure,eu-central-1,Linux,AMD Ryzen 9,NVIDIA T4,32,machine,Y,1.616
15,"std::vector<int> inefficientProcess(const std::vector<int>& items) {
    std::vector<int> result;
    for (size_t i = 0; i < items.size(); ++i) {
        if (items[i] > 0) {
            result.push_back(items[i] * 2);
        }
    }
    return result;
}
",cpp,45.63,0.048985,12.223376,2.1076,8.318,3,0.367,1.19E-05,2.40E-07,0.00897745,France,Europe,AWS,eu-west-3,Linux,Intel Xeon,NVIDIA T4,32,machine,N,1.523
16,"std::vector<int> efficientProcess(const std::vector<int>& items) {
    std::vector<int> result;
    result.reserve(items.size());
    for (auto x : items) {
        if (x > 0) {
            result.push_back(x * 2);
        }
    }
    return result;
}
",cpp,74.93,0.022556,4.789512,0.8869,2.911,2,0.1743,4.01E-06,8.60E-08,0.00286911,France,Europe,AWS,eu-west-3,Linux,Intel Xeon,NVIDIA T4,32,machine,N,1.371
17,"def inefficient_sum(numbers):
    total = 0
    for i in range(len(numbers)):
        total += numbers[i]
    return total
",python,33.07,0.065777,14.396706,3.2377,11.655,4,0.5714,1.53E-05,3.09E-07,0.01099653,USA,North America,AWS,us-east-1,Windows-11,Intel i7,NVIDIA T4,16,process,Y,1.619
18,"function processList(items) {
  const result = [];
  for (let i = 0; i < items.length; i++) {
    if (items[i] > 0) {
      result.push(items[i] * 2);
    }
  }
  return result;
}
",javascript,37.03,0.046286,13.54862,2.8606,7.436,4,0.4333,1.45E-05,2.43E-07,0.00787923,Germany,Europe,Azure,eu-central-1,Linux,AMD Ryzen 9,NVIDIA T4,32,machine,Y,1.647
19,"def inefficient_sum(numbers):
    total = 0
    for i in range(len(numbers)):
        total += numbers[i]
    return total
",python,40.4,0.058199,15.342692,3.0482,10.344,3,0.4793,1.43E-05,3.07E-07,0.01006252,USA,North America,AWS,us-east-1,Windows-11,Intel i7,NVIDIA T4,16,process,Y,1.565
20,"function processList(items) {
  const result = [];
  for (let i = 0; i < items.length; i++) {
    if (items[i] > 0) {
      result.push(items[i] * 2);
    }
  }
  return result;
}
",javascript,44.19,0.055237,12.798229,2.1359,8.007,3,0.4431,1.15E-05,2.89E-07,0.00818866,Germany,Europe,Azure,eu-central-1,Linux,AMD Ryzen 9,NVIDIA T4,32,machine,Y,1.664
21,"public List<Integer> efficientProcess(List<Integer> items) {
    return items.stream()
        .filter(x -> x > 0)
        .map(x -> x * 2)
        .collect(Collectors.toList());
}
",java,83.57,0.020689,4.981132,0.8226,3.387,2,0.1694,4.56E-06,1.13E-07,0.00343441,India,Asia,GCP,asia-south1,Linux,Intel Xeon,NVIDIA A100,64,process,Y,1.695
