timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue
5/2/2022 10:46,codecarbon,run_0049,437.2449521,2.54E-05,8.23E-07,39.96119526,69.2883905,3.469373509,0.005890184,0.003628345,0.000910298,0.010355726,USA,USA,Asia,,,Windows-11,3.797008851,2.4.3rc1,15.83968904,Intel i7,1.992577592,None,16.04273175,67.50372127,63.96271477,machine,Y,1.765442905
8/4/2021 2:29,codecarbon,run_0592,53.27904243,4.59E-05,8.01E-07,38.74574714,92.07844854,5.811009382,0.001034358,0.005911602,0.007754938,0.014711361,France,FRA,Asia,,eu-central-1,Windows-11,3.797463828,2.4.3rc1,8.120592988,Apple M1,1.994808701,NVIDIA T4,175.9909648,-78.3844033,63.84881764,machine,Y,1.9665251
10/1/2021 13:37,codecarbon,run_0969,781.1560913,5.79E-05,2.96E-07,36.90836247,58.854067,1.101609868,0.008961869,0.005435592,0.00870969,0.023110241,Germany,GER,Europe,,ap-south-1,Linux,3.901534098,2.4.3rc1,3.936013405,Apple M1,4.025622512,None,146.0166794,71.11679519,32.05623535,process,N,1.996366577
11/19/2022 3:20,codecarbon,run_0646,503.062392,3.93E-05,6.18E-07,3.315179429,50.60399335,8.813332414,0.002087281,0.004243114,0.009355383,0.015869011,Germany,GER,Europe,Azure,eu-central-1,macOS-12,3.101311372,2.4.3rc1,31.91238966,Intel Xeon,-0.008987388,NVIDIA T4,137.5447347,52.8056947,64.00098686,process,Y,1.655003148
7/4/2020 19:08,codecarbon,run_0325,152.7662556,5.31E-05,9.65E-07,30.67764003,98.47392877,8.569976098,0.000376242,0.006601173,0.002869387,0.009799399,Germany,GER,Asia,,us-east-1,macOS-12,3.895991849,2.4.3rc1,3.885063027,Apple M1,3.98958782,None,135.9074143,-84.83282766,32.22797312,machine,Y,1.23158913
12/31/2021 3:16,codecarbon,run_0666,311.8143417,4.66E-05,1.88E-07,31.88613351,49.83679865,1.944645796,0.001969684,0.004783594,0.008850983,0.015727434,India,IND,Europe,,us-east-1,Linux,3.896697371,2.4.3rc1,3.962138974,AMD Ryzen 9,3.982938487,NVIDIA A100,-161.842593,-2.104524312,8.349935921,machine,N,1.837605827
6/24/2025 0:48,codecarbon,run_0009,883.6870888,2.64E-05,6.63E-07,40.78733116,55.53119505,5.772104879,0.002429553,0.000960607,0.008984307,0.012355152,Japan,JAP,North America,Azure,,Linux,3.105776428,2.4.3rc1,16.14842314,Intel Xeon,4.019003033,Apple M1,126.8894582,-16.89335259,7.769911204,process,N,1.089161851
3/28/2025 15:05,codecarbon,run_0919,835.3967699,5.96E-05,6.63E-07,32.61785383,6.06109666,2.980242716,0.009643136,0.005353094,0.003789538,0.018725059,Germany,GER,Asia,Azure,,macOS-12,3.103737257,2.4.3rc1,7.953856759,AMD Ryzen 9,0.024177995,NVIDIA T4,12.26335411,36.25574007,63.9205728,process,N,1.599273545
8/5/2024 4:31,codecarbon,run_0422,876.3795036,4.15E-06,7.18E-07,2.712414189,26.67150792,5.467075746,0.004214042,0.001908168,0.003317488,0.009529982,USA,USA,North America,Azure,ap-south-1,macOS-12,3.792897842,2.4.3rc1,3.994179162,Intel i7,3.990683138,NVIDIA T4,-88.16662012,15.45424811,8.003138837,process,N,1.857182484
3/16/2020 19:10,codecarbon,run_0569,747.826246,4.74E-05,2.36E-07,10.61181081,42.48642129,7.790857008,0.006079243,0.006905495,0.002855571,0.015774695,Japan,JAP,Asia,GCP,ap-south-1,macOS-12,3.09728851,2.4.3rc1,16.00126094,AMD Ryzen 9,1.997671215,NVIDIA T4,-119.0413363,27.64213634,7.964130744,process,N,1.635573801
